month,seizure_lbs_raw
2015-01-01,NA
2015-02-01,NA
2015-03-01,NA
2015-04-01,NA
2015-05-01,NA
2015-06-01,NA
2015-07-01,NA
2015-08-01,NA
2015-09-01,NA
2015-10-01,NA
2015-11-01,NA
2015-12-01,NA
2016-01-01,NA
2016-02-01,NA
2016-03-01,NA
2016-04-01,NA
2016-05-01,NA
2016-06-01,NA
2016-07-01,NA
2016-08-01,NA
2016-09-01,NA
2016-10-01,NA
2016-11-01,NA
2016-12-01,NA
2017-01-01,NA
2017-02-01,NA
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-01,NA
2017-08-01,NA
2017-09-01,NA
2017-10-01,NA
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,NA
2018-03-01,NA
2018-04-01,NA
2018-05-01,NA
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,154.22964237592802
2018-11-01,137.4409921138192
2018-12-01,75.889044570994
2019-01-01,417.7869849460536
2019-02-01,194.24471561073517
2019-03-01,248.018029069031
2019-04-01,254.9130759551338
2019-05-01,391.696488778586
2019-06-01,293.35913475367204
2019-07-01,153.70166297797402
2019-08-01,276.6765297594486
2019-09-01,205.64112372366935
2019-10-01,310.29723729508424
2019-11-01,248.73245377760895
2019-12-01,110.0613850167636
2020-01-01,145.6331321271892
2020-02-01,256.50387526196585
2020-03-01,253.987974274312
2020-04-01,270.936528569949
2020-05-01,240.36917125933783
2020-06-01,712.8538661680223
2020-07-01,773.8693829696164
2020-08-01,701.9445295784918
2020-09-01,765.8709793174116
2020-10-01,1211.520900548461
2020-11-01,803.6333446704248
2020-12-01,1192.925911914992
2021-01-01,945.0664044962652
2021-02-01,796.7626949721665
2021-03-01,651.8919947984189
2021-04-01,886.4112922729632
2021-05-01,949.6155407338364
2021-06-01,1056.4099056382256
2021-07-01,837.2743221258911
2021-08-01,1132.538625526778
2021-09-01,737.2732037209329
2021-10-01,1050.5104825528333
2021-11-01,1116.00914058848
2021-12-01,549.2374882768039
2022-01-01,862.4878125677881
2022-02-01,680.1785633786222
2022-03-01,1051.5690043135912
2022-04-01,1292.439958865255
2022-05-01,1080.172675865874
2022-06-01,700.1264243104421
2022-07-01,2159.849703010679
2022-08-01,2301.46153128565
2022-09-01,1855.836049390552
2022-10-01,1939.5680827060592
2022-11-01,2948.5139550807517
2022-12-01,2416.857469461489
2023-01-01,1445.4724285035136
2023-02-01,2293.297218101104
2023-03-01,2853.646426383899
2023-04-01,3220.3162933587314
2023-05-01,2683.4555755405017
2023-06-01,2154.538022642051
2023-07-01,1788.5308051155575
2023-08-01,1818.516595743091
2023-09-01,1460.1380430674092
2023-10-01,1772.430046867
2023-11-01,2205.003282330678
2023-12-01,1345.886384637537
2024-01-01,2015.582802144433
2024-02-01,1242.4467391328828
2024-03-01,1449.119040971916
2024-04-01,1385.2729449839874
2024-05-01,2348.1609560620736
2024-06-01,1427.496150216256
2024-07-01,2804.615623665471
2024-08-01,1685.3432191999163
2024-09-01,2207.849609309956
2024-10-01,1992.466747359852
2024-11-01,1363.0163673076877
2024-12-01,1154.7896468306344
2025-01-01,1027.787635473977
2025-02-01,611.230025147274
2025-03-01,762.706459298091
2025-04-01,772.1668753850228
2025-05-01,721.5901890645002
2025-06-01,843.6281167280921
2025-07-01,1379.226561368165
