month,tx_raw
2015-01-01,NA
2015-02-01,NA
2015-03-01,NA
2015-04-01,NA
2015-05-01,NA
2015-06-01,NA
2015-07-01,NA
2015-08-01,NA
2015-09-01,NA
2015-10-01,NA
2015-11-01,NA
2015-12-01,NA
2016-01-01,1354
2016-02-01,1582
2016-03-01,1999
2016-04-01,1689
2016-05-01,1702
2016-06-01,1457
2016-07-01,1676
2016-08-01,1689
2016-09-01,1569
2016-10-01,1297
2016-11-01,1705
2016-12-01,1669
2017-01-01,1870
2017-02-01,1145
2017-03-01,1510
2017-04-01,1422
2017-05-01,2000
2017-06-01,1416
2017-07-01,1469
2017-08-01,1732
2017-09-01,1455
2017-10-01,1615
2017-11-01,1383
2017-12-01,1963
2018-01-01,1982
2018-02-01,2182
2018-03-01,1941
2018-04-01,1961
2018-05-01,2342
2018-06-01,1927
2018-07-01,2521
2018-08-01,2374
2018-09-01,2236
2018-10-01,1897
2018-11-01,1668
2018-12-01,2239
2019-01-01,2046
2019-02-01,1840
2019-03-01,2396
2019-04-01,2125
2019-05-01,2484
2019-06-01,2677
2019-07-01,2114
2019-08-01,2294
2019-09-01,2611
2019-10-01,2576
2019-11-01,2866
2019-12-01,2699
2020-01-01,2988
2020-02-01,2739
2020-03-01,2974
2020-04-01,1916
2020-05-01,2389
2020-06-01,2907
2020-07-01,3642
2020-08-01,3160
2020-09-01,3120
2020-10-01,3466
2020-11-01,2933
2020-12-01,3248
2021-01-01,3626
2021-02-01,2543
2021-03-01,3054
2021-04-01,3112
2021-05-01,2862
2021-06-01,3182
2021-07-01,2732
2021-08-01,3245
2021-09-01,3750
2021-10-01,3481
2021-11-01,3330
2021-12-01,3965
2022-01-01,3441
2022-02-01,3224
2022-03-01,3101
2022-04-01,2972
2022-05-01,4326
2022-06-01,3691
2022-07-01,3828
2022-08-01,3551
2022-09-01,4033
2022-10-01,3183
2022-11-01,3502
2022-12-01,3750
2023-01-01,4136
2023-02-01,3949
2023-03-01,4018
2023-04-01,3272
2023-05-01,4179
2023-06-01,3496
2023-07-01,3816
2023-08-01,4820
2023-09-01,4195
2023-10-01,3742
2023-11-01,3377
2023-12-01,3877
2024-01-01,3100
2024-02-01,3107
2024-03-01,4250
2024-04-01,4143
2024-05-01,4410
2024-06-01,4279
2024-07-01,4117
2024-08-01,3847
2024-09-01,4313
2024-10-01,3982
2024-11-01,3567
2024-12-01,3650
2025-01-01,3893
2025-02-01,3595
2025-03-01,4160
2025-04-01,1837
2025-05-01,2331
2025-06-01,1599
2025-07-01,2610
