variable,date,count
Synthetic opioid overdose deaths,2015-01-01,1971
Synthetic opioid overdose deaths,2015-02-01,2182
Synthetic opioid overdose deaths,2015-03-01,2394
Synthetic opioid overdose deaths,2015-04-01,3424
Synthetic opioid overdose deaths,2015-05-01,3582
Synthetic opioid overdose deaths,2015-06-01,3715
Synthetic opioid overdose deaths,2015-07-01,3900
Synthetic opioid overdose deaths,2015-08-01,4390
Synthetic opioid overdose deaths,2015-09-01,4642
Synthetic opioid overdose deaths,2015-10-01,4919
Synthetic opioid overdose deaths,2015-11-01,5091
Synthetic opioid overdose deaths,2015-12-01,6187
Synthetic opioid overdose deaths,2016-01-01,6458
Synthetic opioid overdose deaths,2016-02-01,6999
Synthetic opioid overdose deaths,2016-03-01,7464
Synthetic opioid overdose deaths,2016-04-01,7941
Synthetic opioid overdose deaths,2016-05-01,8572
Synthetic opioid overdose deaths,2016-06-01,9152
Synthetic opioid overdose deaths,2016-07-01,9731
Synthetic opioid overdose deaths,2016-08-01,10280
Synthetic opioid overdose deaths,2016-09-01,10770
Synthetic opioid overdose deaths,2016-10-01,11143
Synthetic opioid overdose deaths,2016-11-01,11729
Synthetic opioid overdose deaths,2016-12-01,12410
Synthetic opioid overdose deaths,2017-01-01,13220
Synthetic opioid overdose deaths,2017-02-01,13723
Synthetic opioid overdose deaths,2017-03-01,14083
Synthetic opioid overdose deaths,2017-04-01,14482
Synthetic opioid overdose deaths,2017-05-01,14907
Synthetic opioid overdose deaths,2017-06-01,15512
Synthetic opioid overdose deaths,2017-07-01,15895
Synthetic opioid overdose deaths,2017-08-01,16336
Synthetic opioid overdose deaths,2017-09-01,16826
Synthetic opioid overdose deaths,2017-10-01,17190
Synthetic opioid overdose deaths,2017-11-01,18057
Synthetic opioid overdose deaths,2017-12-01,17700
Synthetic opioid overdose deaths,2018-01-01,17591
Synthetic opioid overdose deaths,2018-02-01,19002
Synthetic opioid overdose deaths,2018-03-01,19405
Synthetic opioid overdose deaths,2018-04-01,18806
Synthetic opioid overdose deaths,2018-05-01,18871
Synthetic opioid overdose deaths,2018-06-01,20827
Synthetic opioid overdose deaths,2018-07-01,21212
Synthetic opioid overdose deaths,2018-08-01,21466
Synthetic opioid overdose deaths,2018-09-01,21808
Synthetic opioid overdose deaths,2018-10-01,23927
Synthetic opioid overdose deaths,2018-11-01,24157
Synthetic opioid overdose deaths,2018-12-01,24173
Synthetic opioid overdose deaths,2019-01-01,24540
Synthetic opioid overdose deaths,2019-02-01,24649
Synthetic opioid overdose deaths,2019-03-01,25466
Synthetic opioid overdose deaths,2019-04-01,25531
Synthetic opioid overdose deaths,2019-05-01,25714
Synthetic opioid overdose deaths,2019-06-01,26920
Synthetic opioid overdose deaths,2019-07-01,27227
Synthetic opioid overdose deaths,2019-08-01,27588
Synthetic opioid overdose deaths,2019-09-01,26369
Synthetic opioid overdose deaths,2019-10-01,29913
Synthetic opioid overdose deaths,2019-11-01,30654
Synthetic opioid overdose deaths,2019-12-01,31440
Synthetic opioid overdose deaths,2020-01-01,32328
Synthetic opioid overdose deaths,2020-02-01,33337
Synthetic opioid overdose deaths,2020-03-01,34504
Synthetic opioid overdose deaths,2020-04-01,36378
Synthetic opioid overdose deaths,2020-05-01,40925
Synthetic opioid overdose deaths,2020-06-01,42959
Synthetic opioid overdose deaths,2020-07-01,43069
Synthetic opioid overdose deaths,2020-08-01,44716
Synthetic opioid overdose deaths,2020-09-01,47926
Synthetic opioid overdose deaths,2020-10-01,44249
Synthetic opioid overdose deaths,2020-11-01,50157
Synthetic opioid overdose deaths,2020-12-01,46303
Synthetic opioid overdose deaths,2021-01-01,53204
Synthetic opioid overdose deaths,2021-02-01,54979
Synthetic opioid overdose deaths,2021-03-01,56064
Synthetic opioid overdose deaths,2021-04-01,57447
Synthetic opioid overdose deaths,2021-05-01,58101
Synthetic opioid overdose deaths,2021-06-01,58781
Synthetic opioid overdose deaths,2021-07-01,59595
Synthetic opioid overdose deaths,2021-08-01,61273
Synthetic opioid overdose deaths,2021-09-01,62495
Synthetic opioid overdose deaths,2021-10-01,63792
Synthetic opioid overdose deaths,2021-11-01,64495
Synthetic opioid overdose deaths,2021-12-01,65550
Synthetic opioid overdose deaths,2022-01-01,66338
Synthetic opioid overdose deaths,2022-02-01,67285
Synthetic opioid overdose deaths,2022-03-01,67220
Synthetic opioid overdose deaths,2022-04-01,67686
Synthetic opioid overdose deaths,2022-05-01,67641
Synthetic opioid overdose deaths,2022-06-01,67706
Synthetic opioid overdose deaths,2022-07-01,68089
Synthetic opioid overdose deaths,2022-08-01,68319
Synthetic opioid overdose deaths,2022-09-01,68466
Synthetic opioid overdose deaths,2022-10-01,68991
Synthetic opioid overdose deaths,2022-11-01,69596
Synthetic opioid overdose deaths,2022-12-01,70387
Synthetic opioid overdose deaths,2023-01-01,70967
Synthetic opioid overdose deaths,2023-02-01,71129
Synthetic opioid overdose deaths,2023-03-01,71691
Synthetic opioid overdose deaths,2023-04-01,72405
Synthetic opioid overdose deaths,2023-05-01,73188
Synthetic opioid overdose deaths,2023-06-01,73569
Synthetic opioid overdose deaths,2023-07-01,73600
Synthetic opioid overdose deaths,2023-08-01,73588
Synthetic opioid overdose deaths,2023-09-01,73263
Synthetic opioid overdose deaths,2023-10-01,69362
Synthetic opioid overdose deaths,2023-11-01,68606
Synthetic opioid overdose deaths,2023-12-01,67666
Synthetic opioid overdose deaths,2024-01-01,66464
Synthetic opioid overdose deaths,2024-02-01,65422
Synthetic opioid overdose deaths,2024-03-01,63794
Synthetic opioid overdose deaths,2024-04-01,61991
Synthetic opioid overdose deaths,2024-05-01,59999
Synthetic opioid overdose deaths,2024-06-01,58079
Synthetic opioid overdose deaths,2024-07-01,55721
Synthetic opioid overdose deaths,2024-08-01,53243
Synthetic opioid overdose deaths,2024-09-01,50742
Synthetic opioid overdose deaths,2024-10-01,46916
Synthetic opioid overdose deaths,2024-11-01,45100
Synthetic opioid overdose deaths,2024-12-01,43319
Synthetic opioid overdose deaths,2025-01-01,41821
Synthetic opioid overdose deaths,2025-02-01,40554
Synthetic opioid overdose deaths,2025-03-01,39215
Synthetic opioid overdose deaths,2025-04-01,37081
Synthetic opioid overdose deaths,2025-05-01,34758
Synthetic opioid overdose deaths,2025-06-01,33889
Synthetic opioid overdose deaths,2025-07-01,32419
