month,overdose_rolling_12m_observed,overdose_rolling_12m_reconstructed,abs_error
2015-01-01,1971,NA,NA
2015-02-01,2182,NA,NA
2015-03-01,2394,NA,NA
2015-04-01,3424,NA,NA
2015-05-01,3582,NA,NA
2015-06-01,3715,NA,NA
2015-07-01,3900,NA,NA
2015-08-01,4390,NA,NA
2015-09-01,4642,NA,NA
2015-10-01,4919,NA,NA
2015-11-01,5091,NA,NA
2015-12-01,6187,5916,271
2016-01-01,6458,6417,41
2016-02-01,6999,6937,62
2016-03-01,7464,7468,4
2016-04-01,7941,8009,68
2016-05-01,8572,8562,10
2016-06-01,9152,9120,32
2016-07-01,9731,9674,57
2016-08-01,10280,10219,61
2016-09-01,10770,10761,9
2016-10-01,11143,11311,168
2016-11-01,11729,11877,148
2016-12-01,12410,12453,43
2017-01-01,13220,13020,200
2017-02-01,13723,13557,166
2017-03-01,14083,14067,16
2017-04-01,14482,14556,74
2017-05-01,14907,15025,118
2017-06-01,15512,15480,32
2017-07-01,15895,15936,41
2017-08-01,16336,16389,53
2017-09-01,16826,16822,4
2017-10-01,17190,17219,29
2017-11-01,18057,17579,478
2017-12-01,17700,17904,204
2018-01-01,17591,18213,622
2018-02-01,19002,18522,480
2018-03-01,19405,18838,567
2018-04-01,18806,19196,390
2018-05-01,18871,19653,782
2018-06-01,20827,20241,586
2018-07-01,21212,20938,274
2018-08-01,21466,21702,236
2018-09-01,21808,22475,667
2018-10-01,23927,23192,735
2018-11-01,24157,23810,347
2018-12-01,24173,24322,149
2019-01-01,24540,24738,198
2019-02-01,24649,25075,426
2019-03-01,25466,25358,108
2019-04-01,25531,25610,79
2019-05-01,25714,25877,163
2019-06-01,26920,26230,690
2019-07-01,27227,26720,507
2019-08-01,27588,27370,218
2019-09-01,26369,28193,1824
2019-10-01,29913,29171,742
2019-11-01,30654,30209,445
2019-12-01,31440,31277,163
2020-01-01,32328,32411,83
2020-02-01,33337,33754,417
2020-03-01,34504,35416,912
2020-04-01,36378,37388,1010
2020-05-01,40925,39508,1417
2020-06-01,42959,41529,1430
2020-07-01,43069,43289,220
2020-08-01,44716,44760,44
2020-09-01,47926,46015,1911
2020-10-01,44249,47210,2961
2020-11-01,50157,48577,1580
2020-12-01,46303,50202,3899
2021-01-01,53204,52056,1148
2021-02-01,54979,53906,1073
2021-03-01,56064,55536,528
2021-04-01,57447,56856,591
2021-05-01,58101,57932,169
2021-06-01,58781,58934,153
2021-07-01,59595,60010,415
2021-08-01,61273,61218,55
2021-09-01,62495,62518,23
2021-10-01,63792,63806,14
2021-11-01,64495,64945,450
2021-12-01,65550,65858,308
2022-01-01,66338,66501,163
2022-02-01,67285,66920,365
2022-03-01,67220,67177,43
2022-04-01,67686,67340,346
2022-05-01,67641,67473,168
2022-06-01,67706,67635,71
2022-07-01,68089,67875,214
2022-08-01,68319,68226,93
2022-09-01,68466,68701,235
2022-10-01,68991,69268,277
2022-11-01,69596,69851,255
2022-12-01,70387,70397,10
2023-01-01,70967,70900,67
2023-02-01,71129,71397,268
2023-03-01,71691,71926,235
2023-04-01,72405,72472,67
2023-05-01,73188,72957,231
2023-06-01,73569,73259,310
2023-07-01,73600,73255,345
2023-08-01,73588,72857,731
2023-09-01,73263,72045,1218
2023-10-01,69362,70889,1527
2023-11-01,68606,69537,931
2023-12-01,67666,68106,440
2024-01-01,66464,66650,186
2024-02-01,65422,65157,265
2024-03-01,63794,63574,220
2024-04-01,61991,61837,154
2024-05-01,59999,59892,107
2024-06-01,58079,57719,360
2024-07-01,55721,55348,373
2024-08-01,53243,52858,385
2024-09-01,50742,50361,381
2024-10-01,46916,47968,1052
2024-11-01,45100,45754,654
2024-12-01,43319,43738,419
2025-01-01,41821,41890,69
2025-02-01,40554,40151,403
2025-03-01,39215,38466,749
2025-04-01,37081,36821,260
2025-05-01,34758,35254,496
2025-06-01,33889,33815,74
2025-07-01,32419,32515,96
